
ID	Name	Average CP	Max CP	Average HP	Max HP
1	Bulbasaur	951	1071	77	82
2	Ivysaur	1483	1632	100	106
3	Venusaur	2392	2580	132	138
4	Charmander	841	955	67	73
5	Charmeleon	1411	1557	97	103
6	Charizard	2413	2602	129	135
7	Squirtle	891	1008	75	81
8	Wartortle	1435	1582	99	105
9	Blastoise	2355	2542	130	136
10	Caterpie	367	443	77	82
11	Metapod	397	477	84	90
12	Butterfree	1315	1454	100	106
13	Weedle	372	449	69	75
14	Kakuna	405	485	77	82
15	Beedrill	1301	1439	108	114
16	Pidgey	585	679	69	75
17	Pidgeotto	1096	1223	105	111
18	Pidgeot	1923	2091	137	143
19	Rattata	493	581	53	59
20	Raticate	1304	1444	92	98
21	Spearow	591	686	69	75
22	Fearow	1592	1746	108	114
23	Ekans	718	824	61	67
24	Arbok	1611	1767	100	106
25	Pikachu	777	887	61	67
26	Raichu	1859	2028	100	106
27	Sandshrew	695	798	84	90
28	Sandslash	1654	1810	124	130
29	Nidoran♀	768	876	92	98
30	Nidorina	1267	1404	116	122
31	Nidoqueen	2301	2485	148	154
32	Nidoran♂	737	843	78	84
33	Nidorino	1236	1372	102	108
34	Nidoking	2291	2475	133	139
35	Clefairy	1074	1200	116	122
36	Clefable	2217	2397	156	162
37	Vulpix	725	831	65	71
38	Ninetales	2015	2188	121	127
39	Jigglypuff	796	917	187	193
40	Wigglytuff	1997	2177	227	233
41	Zubat	550	642	69	75
42	Golbat	1760	1921	124	130
43	Oddish	1023	1148	77	82
44	Gloom	1537	1689	100	106
45	Vileplume	2307	2492	124	130
46	Paras	804	916	61	67
47	Parasect	1592	1747	100	106
48	Venonat	912	1029	100	106
49	Venomoth	1730	1890	116	122
50	Diglett	365	456	21	27
51	Dugtrio	1038	1168	61	67
52	Meowth	656	756	69	75
53	Persian	1483	1631	108	114
54	Psyduck	987	1109	84	90
55	Golduck	2206	2386	132	138
56	Mankey	769	878	69	75
57	Primeape	1704	1864	108	114
58	Growlithe	1199	1335	92	98
59	Arcanine	2781	2983	148	154
60	Poliwag	693	795	69	75
61	Poliwhirl	1206	1340	108	114
62	Poliwrath	2321	2505	148	154
63	Abra	508	600	45	51
64	Kadabra	1005	1131	69	75
65	Alakazam	1654	1813	92	98
66	Machop	968	1089	116	122
67	Machoke	1606	1760	132	138
68	Machamp	2406	2594	148	154
69	Bellsprout	990	1117	84	90
70	Weepinbell	1567	1723	108	114
71	Victreebel	2342	2530	132	138
72	Tentacool	794	905	69	75
73	Tentacruel	2046	2220	132	138
74	Geodude	742	849	69	75
75	Graveler	1294	1433	92	98
76	Golem	2126	2303	132	138
77	Ponyta	1370	1516	84	90
78	Rapidash	2024	2199	108	114
79	Slowpoke	1089	1218	148	154
80	Slowbro	2409	2597	156	162
81	Magnemite	774	890	45	51
82	Magneton	1715	1879	84	90
83	Farfetch'd	1133	1263	88	94
84	Doduo	746	855	61	67
85	Dodrio	1677	1836	100	106
86	Seel	985	1107	108	114
87	Dewgong	1975	2145	148	154
88	Grimer	1152	1284	132	138
89	Muk	2414	2602	171	177
90	Shellder	715	822	53	59
91	Cloyster	1879	2052	84	90
92	Gastly	696	804	53	59
93	Haunter	1240	1380	77	82
94	Gengar	1907	2078	100	106
95	Onix	745	857	61	67
96	Drowzee	955	1075	100	106
97	Hypno	2012	2184	140	146
98	Krabby	686	792	53	59
99	Kingler	1663	1823	92	98
100	Voltorb	733	839	69	75
101	Electrode	1496	1646	100	106
102	Exeggcute	978	1099	100	106
103	Exeggutor	2752	2955	156	162
104	Cubone	889	1006	84	90
105	Marowak	1505	1656	100	106
106	Hitmonlee	1349	1492	84	90
107	Hitmonchan	1370	1516	84	90
108	Lickitung	1477	1626	148	154
109	Koffing	1025	1151	69	75
110	Weezing	2073	2250	108	114
111	Rhyhorn	1055	1182	132	138
112	Rhydon	2068	2243	171	177
113	Chansey	549	675	401	407
114	Tangela	1586	1739	108	114
115	Kangaskhan	1875	2043	171	177
116	Horsea	688	794	53	59
117	Seadra	1559	1713	92	98
118	Goldeen	851	965	77	82
119	Seaking	1877	2043	132	138
120	Staryu	821	937	53	59
121	Starmie	2007	2182	100	106
122	Mr. Mime	1345	1494	69	75
123	Scyther	1905	2073	116	122
124	Jynx	1563	1716	108	114
125	Electabuzz	1947	2119	108	114
126	Magmar	2086	2265	108	114
127	Pinsir	1950	2121	108	114
128	Tauros	1686	1844	124	130
129	Magikarp	203	262	37	43
130	Gyarados	2498	2688	156	162
131	Lapras	2777	2980	211	217
132	Ditto	809	919	81	87
133	Eevee	957	1077	92	98
134	Vaporeon	2618	2816	211	217
135	Jolteon	1968	2140	108	114
136	Flareon	2448	2643	108	114
137	Porygon	1540	1691	108	114
138	Omanyte	992	1119	61	67
139	Omastar	2058	2233	116	122
140	Kabuto	975	1104	53	59
141	Kabutops	1957	2130	100	106
142	Aerodactyl	1994	2165	132	138
143	Snorlax	2901	3112	258	264
144	Articuno	2776	2978	148	154
145	Zapdos	2907	3114	148	154
146	Moltres	3028	3240	148	154
147	Dratini	867	983	70	76
148	Dragonair	1593	1747	102	108
149	Dragonite	3280	3500	149	155
150	Mewtwo	3904	4144	173	179
151	Mew	3087	3299	163	169
